name|effect|imageUrl
Aspear Berry|If held by a Pokémon, it defrosts it.|https://img.pokemondb.net/sprites/items/aspear-berry.png
Assault Vest|Raises Special Defense but prevents the use of status moves.|https://img.pokemondb.net/sprites/items/assault-vest.png
Audinite|Enables Audino to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/audinite.png
Awakening|A spray-type medicine. It awakens a Pokémon from the clutches of sleep.|https://img.pokemondb.net/sprites/items/awakening.png
Babiri Berry|Weakens a supereffective Steel-type attack against the holding Pokémon.|https://img.pokemondb.net/sprites/items/babiri-berry.png
Balm Mushroom|A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/balm-mushroom.png
Banettite|Enables Banette to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/banettite.png
Beach Glass|A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.|https://img.pokemondb.net/sprites/items/beach-glass.png
Beast Ball|A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.|https://img.pokemondb.net/sprites/items/beast-ball.png
Beedrillite|Enables Beedrill to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/beedrillite.png
Belue Berry|A Berry which is very rare in the Unova region. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/belue-berry.png
Berry Juice|A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.|https://img.pokemondb.net/sprites/items/berry-juice.png
Big Malasada|Heals all major status conditions.|https://img.pokemondb.net/sprites/items/big-malasada.png
Big Mushroom|A large and rare mushroom. It is sought after by collectors.|https://img.pokemondb.net/sprites/items/big-mushroom.png
Big Nugget|A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/big-nugget.png
Big Pearl|A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.|https://img.pokemondb.net/sprites/items/big-pearl.png
Big Root|Recovers more HP from HP-stealing moves.|https://img.pokemondb.net/sprites/items/big-root.png
Binding Band|A band that increases the power of binding moves when held.|https://img.pokemondb.net/sprites/items/binding-band.png
Black Apricorn|A black Apricorn It has an indescribable scent.|https://img.pokemondb.net/sprites/items/black-apricorn.png
Black Belt|Increases the power of Fighting-type moves.|https://img.pokemondb.net/sprites/items/black-belt.png
Black Flute|A toy flute made from black glass. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/black-flute.png
Black Glasses|Increases the power of Dark-type moves.|https://img.pokemondb.net/sprites/items/black-glasses.png
Black Sludge|A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.|https://img.pokemondb.net/sprites/items/black-sludge.png
Blastoisinite|Enables Blastoise to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/blastoisinite.png
Blazikenite|Enables Blaziken to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/blazikenite.png
Blue Apricorn|A blue Apricorn. It smells a bit like grass.|https://img.pokemondb.net/sprites/items/blue-apricorn.png
Blue Flute|A toy flute made from blue glass. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/blue-flute.png
Blue Scarf|Raises holder's Beauty aspect in a Contest.|https://img.pokemondb.net/sprites/items/blue-scarf.png
Blue Shard|A small blue shard. It appears to be from some sort of implement made long ago.|https://img.pokemondb.net/sprites/items/blue-shard.png
Bluk Berry|A Berry which is very rare in the Unova region. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/bluk-berry.png
Bottle Cap|Maximizes one IV stat in Hyper Training.|https://img.pokemondb.net/sprites/items/bottle-cap.png
Bright Powder|Lowers the opponent's accuracy.|https://img.pokemondb.net/sprites/items/bright-powder.png
Bug Gem|Increases the power of a Bug-type move only once.|https://img.pokemondb.net/sprites/items/bug-gem.png
Bug Memory|Changes Silvally and its move Multi-Attack to Bug type.|https://img.pokemondb.net/sprites/items/bug-memory.png
Buginium Z|Allows the use of Savage Spin-Out, the Bug type Z-Move.|https://img.pokemondb.net/sprites/items/buginium-z.png
Burn Drive|Changes Techno Blast to a Fire-type move when held by Genesect.|https://img.pokemondb.net/sprites/items/burn-drive.png
Burn Heal|A spray-type medicine. It heals a single Pokémon that is suffering from a burn.|https://img.pokemondb.net/sprites/items/burn-heal.png
Calcium|Increases Special Attack EVs by 10.|https://img.pokemondb.net/sprites/items/calcium.png
Cameruptite|Enables Camerupt to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/cameruptite.png
Carbos|Increases Speed EVs by 10.|https://img.pokemondb.net/sprites/items/carbos.png
Casteliacone|Heals all major status conditions.|https://img.pokemondb.net/sprites/items/casteliacone.png
Cell Battery|A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.|https://img.pokemondb.net/sprites/items/cell-battery.png
Chalky Stone|A small whitish stone picked up at the edge of the road.|https://img.pokemondb.net/sprites/items/chalky-stone.png
Charcoal|Increases the power of Fire-type moves.|https://img.pokemondb.net/sprites/items/charcoal.png
Charizardite X|Enables Charizard to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/charizardite-x.png
Charizardite Y|Enables Charizard to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/charizardite-y.png
Charti Berry|Weakens a supereffective Rock-type attack against the holding Pokémon.|https://img.pokemondb.net/sprites/items/charti-berry.png
Cheri Berry|If held by a Pokémon, it recovers from paralysis.|https://img.pokemondb.net/sprites/items/cheri-berry.png
Cherish Ball|A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.|https://img.pokemondb.net/sprites/items/cherish-ball.png
Chesto Berry|If held by a Pokémon, it recovers from sleep.|https://img.pokemondb.net/sprites/items/chesto-berry.png
Chilan Berry|Weakens a Normal-type attack against the Pokémon holding this berry.|https://img.pokemondb.net/sprites/items/chilan-berry.png
Chill Drive|Changes Techno Blast to an Ice-type move when held by Genesect.|https://img.pokemondb.net/sprites/items/chill-drive.png
Choice Band|Raises Attack, but only one move can be used.|https://img.pokemondb.net/sprites/items/choice-band.png
Choice Scarf|Raises Speed, but only one move can be used.|https://img.pokemondb.net/sprites/items/choice-scarf.png
Choice Specs|Raises Special Attack, but only one move can be used.|https://img.pokemondb.net/sprites/items/choice-specs.png
Chople Berry|Weakens a supereffective Fighting-type attack against the holding Pokémon.|https://img.pokemondb.net/sprites/items/chople-berry.png
Claw Fossil|A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.|https://img.pokemondb.net/sprites/items/claw-fossil.png
Cleanse Tag|An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.|https://img.pokemondb.net/sprites/items/cleanse-tag.png
Clever Wing|Increases Special Defense EVs by 1.|https://img.pokemondb.net/sprites/items/clever-wing.png
Coba Berry|Weakens a supereffective Flying-type attack against the holding Pokémon.|https://img.pokemondb.net/sprites/items/coba-berry.png
Colbur Berry|Weakens a supereffective Dark-type attack against the holding Pokémon.|https://img.pokemondb.net/sprites/items/colbur-berry.png
Colress Machine|A special device that wrings out the potential of Pokémon. It is an imperfect prototype.|https://img.pokemondb.net/sprites/items/colress-machine.png
Comet Shard|A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/comet-shard.png
Cornn Berry|A Berry which is very rare in the Unova region. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/cornn-berry.png
Courage Candy|Increases a Pokémon's Special Defense stat by 1.|https://img.pokemondb.net/sprites/items/courage-candy.png
Courage Candy L|Increases a Pokémon's Special Defense stat.|https://img.pokemondb.net/sprites/items/courage-candy-l.png
Courage Candy XL|Increases a Pokémon's Special Defense stat.|https://img.pokemondb.net/sprites/items/courage-candy-xl.png
Cover Fossil|A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.|https://img.pokemondb.net/sprites/items/cover-fossil.png
Custap Berry|Holder can move first when HP is low.|https://img.pokemondb.net/sprites/items/custap-berry.png
Damp Mulch|A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/damp-mulch.png
Damp Rock|A Pokémon held item that extends the duration of the move Rain Dance used by the holder.|https://img.pokemondb.net/sprites/items/damp-rock.png
Dark Gem|Increases the power of a Dark-type move only once.|https://img.pokemondb.net/sprites/items/dark-gem.png
Dark Memory|Changes Silvally and its move Multi-Attack to Dark type.|https://img.pokemondb.net/sprites/items/dark-memory.png
Darkinium Z|Allows the use of Black Hole Eclipse, the Dark type Z-Move.|https://img.pokemondb.net/sprites/items/darkinium-z.png
Dawn Stone|Evolves certain species of Pokémon.|https://img.pokemondb.net/sprites/items/dawn-stone.png
Decidium Z|Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid.|https://img.pokemondb.net/sprites/items/decidium-z.png
Deep Sea Scale|Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.|https://img.pokemondb.net/sprites/items/deep-sea-scale.png
Deep Sea Tooth|Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.|https://img.pokemondb.net/sprites/items/deep-sea-tooth.png
Destiny Knot|A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.|https://img.pokemondb.net/sprites/items/destiny-knot.png
Diancite|Enables Diancie to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/diancite.png
Dire Hit|Raises critical-hit ratio of a Pokémon in battle.|https://img.pokemondb.net/sprites/items/dire-hit.png
Dire Hit 2|Raises a Pokémon's critical-hit ratio in battle.|https://img.pokemondb.net/sprites/items/dire-hit-2.png
Dire Hit 3|Greatly raises a Pokémon's critical-hit ratio in battle.|https://img.pokemondb.net/sprites/items/dire-hit-3.png
Discount Coupon|This special coupon allows you to buy items at a discount when you are shopping at a boutique.|https://img.pokemondb.net/sprites/items/discount-coupon.png
Dive Ball|A somewhat different Poké Ball that works especially well on Pokémon that live underwater.|https://img.pokemondb.net/sprites/items/dive-ball.png
DNA Splicers|A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.|https://img.pokemondb.net/sprites/items/dna-splicers.png
Dome Fossil|A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.|https://img.pokemondb.net/sprites/items/dome-fossil.png
Douse Drive|Changes Techno Blast to a Water-type move when held by Genesect.|https://img.pokemondb.net/sprites/items/douse-drive.png
Draco Plate|Increases power of Dragon-type moves. Changes Arceus' type to Dragon.|https://img.pokemondb.net/sprites/items/draco-plate.png
Dragon Fang|Increases the power of Dragon-type moves.|https://img.pokemondb.net/sprites/items/dragon-fang.png
Dragon Gem|Increases the power of a Dragon-type move only once.|https://img.pokemondb.net/sprites/items/dragon-gem.png
Dragon Memory|Changes Silvally and its move Multi-Attack to Dragon type.|https://img.pokemondb.net/sprites/items/dragon-memory.png
Dragon Scale|Evolves Seadra when traded holding the item.|https://img.pokemondb.net/sprites/items/dragon-scale.png
Dragonium Z|Allows the use of Devastating Drake, the Dragon type Z-Move.|https://img.pokemondb.net/sprites/items/dragonium-z.png
Dread Plate|Increases power of Dark-type moves. Changes Arceus' type to Dark.|https://img.pokemondb.net/sprites/items/dread-plate.png
Dream Ball|A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.|https://img.pokemondb.net/sprites/items/dream-ball.png
Dropped Item|The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.|https://img.pokemondb.net/sprites/items/xtransceiver.png
Dubious Disc|Evolves Porygon2 when traded holding the item.|https://img.pokemondb.net/sprites/items/dubious-disc.png
Durin Berry|A Berry which is very rare in the Unova region. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/durin-berry.png
Dusk Ball|A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.|https://img.pokemondb.net/sprites/items/dusk-ball.png
Dusk Stone|Evolves certain species of Pokémon.|https://img.pokemondb.net/sprites/items/dusk-stone.png
Earth Plate|Increases power of Ground-type moves. Changes Arceus' type to Ground.|https://img.pokemondb.net/sprites/items/earth-plate.png
Eevium Z|Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost.|https://img.pokemondb.net/sprites/items/eevium-z.png
Eject Button|If the holder is hit by an attack, it will switch with another Pokémon in your party.|https://img.pokemondb.net/sprites/items/eject-button.png
Electirizer|Evolves Electabuzz when traded holding the item.|https://img.pokemondb.net/sprites/items/electirizer.png
Electric Gem|Increases the power of an Electric-type move only once.|https://img.pokemondb.net/sprites/items/electric-gem.png
Electric Memory|Changes Silvally and its move Multi-Attack to Electric type.|https://img.pokemondb.net/sprites/items/electric-memory.png
Electric Seed|An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.|https://img.pokemondb.net/sprites/items/electric-seed.png
Electrium Z|Allows the use of Gigavolt Havoc, the Electric type Z-Move.|https://img.pokemondb.net/sprites/items/electrium-z.png
Elevator Key|A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.|https://img.pokemondb.net/sprites/items/elevator-key.png
Elixir|It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.|https://img.pokemondb.net/sprites/items/elixir.png
Energy Powder|Restores 60 HP but lowers Friendship.|https://img.pokemondb.net/sprites/items/energy-powder.png
Energy Root|Restores 120 HP but lowers Friendship.|https://img.pokemondb.net/sprites/items/energy-root.png
Enigma Berry|If held by a Pokémon, it restores its HP if it is hit by any supereffective attack.|https://img.pokemondb.net/sprites/items/enigma-berry.png
Escape Rope|A long, durable rope. Use it to escape instantly from a cave or a dungeon.|https://img.pokemondb.net/sprites/items/escape-rope.png
Ether|It restores the PP of a Pokémon's selected move by a maximum of 10 points.|https://img.pokemondb.net/sprites/items/ether.png
Everstone|An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.|https://img.pokemondb.net/sprites/items/everstone.png
Eviolite|A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve.|https://img.pokemondb.net/sprites/items/eviolite.png
Exp. Share|An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.|https://img.pokemondb.net/sprites/items/exp-share.png
Expert Belt|Increases the power of super-effective moves.|https://img.pokemondb.net/sprites/items/expert-belt.png
Fairium Z|Allows the use of Twinkle Tackle, the Fairy type Z-Move.|https://img.pokemondb.net/sprites/items/fairium-z.png
Fairy Gem|Increases the power of a Fairy-type move only once.|https://img.pokemondb.net/sprites/items/fairy-gem.png
Fairy Memory|Changes Silvally and its move Multi-Attack to Fairy type.|https://img.pokemondb.net/sprites/items/fairy-memory.png
Fast Ball|A Poké Ball that makes it easier to catch Pokémon which are quick to run away.|https://img.pokemondb.net/sprites/items/fast-ball.png
Festival Ticket|A ticket that allows you to host a mission in Festival Plaza.|https://img.pokemondb.net/sprites/items/festival-ticket.png
Fighting Gem|Increases the power of a Fighting-type move only once.|https://img.pokemondb.net/sprites/items/fighting-gem.png
Fighting Memory|Changes Silvally and its move Multi-Attack to Fighting type.|https://img.pokemondb.net/sprites/items/fighting-memory.png
Fightinium Z|Allows the use of All-Out Pummeling, the Fighting type Z-Move.|https://img.pokemondb.net/sprites/items/fightinium-z.png
Figy Berry|Restores HP if it's low, but may cause confusion.|https://img.pokemondb.net/sprites/items/figy-berry.png
Fire Gem|Increases the power of a Fire-type move only once.|https://img.pokemondb.net/sprites/items/fire-gem.png
Fire Memory|Changes Silvally and its move Multi-Attack to Fire type.|https://img.pokemondb.net/sprites/items/fire-memory.png
Fire Stone|Evolves certain species of Pokémon.|https://img.pokemondb.net/sprites/items/fire-stone.png
Firium Z|Allows the use of Inferno Overdrive, the Fire type Z-Move.|https://img.pokemondb.net/sprites/items/firium-z.png
Fist Plate|Increases power of Fighting-type moves. Changes Arceus' type to Fighting.|https://img.pokemondb.net/sprites/items/fist-plate.png
Flame Orb|An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.|https://img.pokemondb.net/sprites/items/flame-orb.png
Flame Plate|Increases power of Fire-type moves. Changes Arceus' type to Fire.|https://img.pokemondb.net/sprites/items/flame-plate.png
Float Stone|A very light stone. It reduces the weight of a Pokémon when held.|https://img.pokemondb.net/sprites/items/float-stone.png
Fluffy Tail|An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.|https://img.pokemondb.net/sprites/items/fluffy-tail.png
Flying Gem|Increases the power of a Flying-type move only once.|https://img.pokemondb.net/sprites/items/flying-gem.png
Flying Memory|Changes Silvally and its move Multi-Attack to Flying type.|https://img.pokemondb.net/sprites/items/flying-memory.png
Flyinium Z|Allows the use of Supersonic Skystrike, the Flying type Z-Move.|https://img.pokemondb.net/sprites/items/flyinium-z.png
Focus Band|An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.|https://img.pokemondb.net/sprites/items/focus-band.png
Focus Sash|An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.|https://img.pokemondb.net/sprites/items/focus-sash.png
Fresh Water|Restores 30 HP.|https://img.pokemondb.net/sprites/items/fresh-water.png
Friend Ball|A Poké Ball that makes caught Pokémon more friendly.|https://img.pokemondb.net/sprites/items/friend-ball.png
Full Heal|A spray-type medicine. It heals all the status problems of a single Pokémon.|https://img.pokemondb.net/sprites/items/full-heal.png
Full Incense|Holder always attacks last. Breeding Snorlax produces Munchlax when held.|https://img.pokemondb.net/sprites/items/full-incense.png
Full Restore|A medicine that fully restores the HP and heals any status problems of a single Pokémon.|https://img.pokemondb.net/sprites/items/full-restore.png
Galladite|Enables Gallade to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/galladite.png
Ganlon Berry|Raises Defense when HP is low.|https://img.pokemondb.net/sprites/items/ganlon-berry.png
Garchompite|Enables Garchomp to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/garchompite.png
Gardevoirite|Enables Gardevoir to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/gardevoirite.png
Gengarite|Enables Gengar to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/gengarite.png
Genius Wing|Increases Special Attack EVs by 1.|https://img.pokemondb.net/sprites/items/genius-wing.png
Ghost Gem|Increases the power of a Ghost-type move only once.|https://img.pokemondb.net/sprites/items/ghost-gem.png
Ghost Memory|Changes Silvally and its move Multi-Attack to Ghost type.|https://img.pokemondb.net/sprites/items/ghost-memory.png
Ghostium Z|Allows the use of Never-Ending Nightmare, the Ghost type Z-Move.|https://img.pokemondb.net/sprites/items/ghostium-z.png
Glalitite|Enables Glalie to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/glalitite.png
Gold Bottle Cap|Maximizes all of a Pokémon's IV stats in Hyper Training.|https://img.pokemondb.net/sprites/items/gold-bottle-cap.png
Gold Leaf||https://img.pokemondb.net/s.png
Golden Nanab Berry|Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.|https://img.pokemondb.net/sprites/items/golden-nanab-berry.png
Golden Pinap Berry|Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.|https://img.pokemondb.net/sprites/items/golden-pinap-berry.png
Golden Razz Berry|Makes a Pokémon easier to catch in Pokémon Let's Go.|https://img.pokemondb.net/sprites/items/golden-razz-berry.png
Gooey Mulch|A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/gooey-mulch.png
Grass Gem|Increases the power of a Grass-type move only once.|https://img.pokemondb.net/sprites/items/grass-gem.png
Grass Memory|Changes Silvally and its move Multi-Attack to Grass type.|https://img.pokemondb.net/sprites/items/grass-memory.png
Grassium Z|Allows the use of Bloom Doom, the Grass type Z-Move.|https://img.pokemondb.net/sprites/items/grassium-z.png
Grassy Seed|An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.|https://img.pokemondb.net/sprites/items/grassy-seed.png
Great Ball|A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.|https://img.pokemondb.net/sprites/items/great-ball.png
Green Apricorn|A green Apricorn. It has a mysterious, aromatic scent.|https://img.pokemondb.net/sprites/items/green-apricorn.png
Green Scarf|Raises holder's Smart aspect in a Contest.|https://img.pokemondb.net/sprites/items/green-scarf.png
Green Shard|A small green shard. It appears to be from some sort of implement made long ago.|https://img.pokemondb.net/sprites/items/green-shard.png
Grepa Berry|Increases Friendship but lowers Special Defense EVs.|https://img.pokemondb.net/sprites/items/grepa-berry.png
Grip Claw|A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.|https://img.pokemondb.net/sprites/items/grip-claw.png
Griseous Orb|Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.|https://img.pokemondb.net/sprites/items/griseous-orb.png
Ground Gem|Increases the power of a Ground-type move only once.|https://img.pokemondb.net/sprites/items/ground-gem.png
Ground Memory|Changes Silvally and its move Multi-Attack to Ground type.|https://img.pokemondb.net/sprites/items/ground-memory.png
Groundium Z|Allows the use of Tectonic Rage, the Ground type Z-Move.|https://img.pokemondb.net/sprites/items/groundium-z.png
Growth Mulch|A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.|https://img.pokemondb.net/sprites/items/growth-mulch.png
Grubby Hanky|A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.|https://img.pokemondb.net/sprites/items/grubby-hanky.png
Guard Spec.|Prevents stat reduction for five turns.|https://img.pokemondb.net/sprites/items/guard-spec.png
Gyaradosite|Enables Gyarados to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/gyaradosite.png
Haban Berry|Weakens a supereffective Dragon-type attack against the holding Pokémon.|https://img.pokemondb.net/sprites/items/haban-berry.png
Hard Stone|Increases the power of Rock-type moves.|https://img.pokemondb.net/sprites/items/hard-stone.png
Heal Ball|A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.|https://img.pokemondb.net/sprites/items/heal-ball.png
Heal Powder|Heals all status problems, but lowers Friendship.|https://img.pokemondb.net/sprites/items/heal-powder.png
Health Candy|Increases a Pokémon's HP stat by 1.|https://img.pokemondb.net/sprites/items/health-candy.png
Health Candy L|Increases a Pokémon's HP stat.|https://img.pokemondb.net/sprites/items/health-candy-l.png
Health Candy XL|Increases a Pokémon's HP stat.|https://img.pokemondb.net/sprites/items/health-candy-xl.png
Health Wing|Increases HP EVs by 1.|https://img.pokemondb.net/sprites/items/health-wing.png
Heart Scale|A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.|https://img.pokemondb.net/sprites/items/heart-scale.png
Heat Rock|A Pokémon held item that extends the duration of the move Sunny Day used by the holder.|https://img.pokemondb.net/sprites/items/heat-rock.png
Heavy Ball|A Poké Ball for catching very heavy Pokémon.|https://img.pokemondb.net/sprites/items/heavy-ball.png
Helix Fossil|A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.|https://img.pokemondb.net/sprites/items/helix-fossil.png
Heracronite|Enables Heracross to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/heracronite.png
HM01|Teaches the move Cut.|https://img.pokemondb.net/sprites/items/tm-normal.png
HM02|Teaches the move Fly.|https://img.pokemondb.net/sprites/items/tm-flying.png
HM03|Teaches the move Surf.|https://img.pokemondb.net/sprites/items/tm-water.png
HM04|Teaches the move Strength.|https://img.pokemondb.net/sprites/items/tm-normal.png
HM05|Teaches the move Flash/Defog/Whirlpool/Waterfall.|https://img.pokemondb.net/sprites/items/tm-water.png
HM06|Teaches the move Whirlpool/Rock Smash/Dive.|https://img.pokemondb.net/sprites/items/tm-water.png
HM07|Teaches the move Waterfall.|https://img.pokemondb.net/sprites/items/tm-water.png
HM08|Teaches the move Dive/Rock Climb.|https://img.pokemondb.net/sprites/items/tm-normal.png
Hondew Berry|Increases Friendship but lowers Special Attack EVs.|https://img.pokemondb.net/sprites/items/hondew-berry.png
Honey|A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.|https://img.pokemondb.net/sprites/items/honey.png
Honor Of Kalos|A precious symbol that is awarded only to an individual who has done great things for the Kalos region.|https://img.pokemondb.net/sprites/items/honor-of-kalos.png
Houndoominite|Enables Houndoom to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/houndoominite.png
HP Up|Increases HP EVs by 10.|https://img.pokemondb.net/sprites/items/hp-up.png
Hyper Potion|Restores 120 HP.|https://img.pokemondb.net/sprites/items/hyper-potion.png
Iapapa Berry|Restores HP if it's low, but may cause confusion.|https://img.pokemondb.net/sprites/items/iapapa-berry.png
Ice Gem|Increases the power of an Ice-type move only once.|https://img.pokemondb.net/sprites/items/ice-gem.png
Ice Heal|A spray-type medicine. It defrosts a Pokémon that has been frozen solid.|https://img.pokemondb.net/sprites/items/ice-heal.png
Ice Memory|Changes Silvally and its move Multi-Attack to Ice type.|https://img.pokemondb.net/sprites/items/ice-memory.png
Ice Stone|Evolves certain species of Pokémon.|https://img.pokemondb.net/sprites/items/ice-stone.png
Icicle Plate|Increases power of Ice-type moves. Changes Arceus' type to Ice.|https://img.pokemondb.net/sprites/items/icicle-plate.png
Icium Z|Allows the use of Subzero Slammer, the Ice type Z-Move.|https://img.pokemondb.net/sprites/items/icium-z.png
Icy Rock|A Pokémon held item that extends the duration of the move Hail used by the holder.|https://img.pokemondb.net/sprites/items/icy-rock.png
Incinium Z|Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault.|https://img.pokemondb.net/sprites/items/incinium-z.png
Insect Plate|Increases power of Bug-type moves. Changes Arceus' type to Bug.|https://img.pokemondb.net/sprites/items/insect-plate.png
