name|type|power|accuracy|pp|effect|effectProbability
Counter|Fighting|\N|100|20|When hit by a Physical Attack, user strikes back with 2x power.|\N
Covet|Normal|60|100|25|Opponent's item is stolen by the user.|\N
Crabhammer|Water|100|90|10|High critical hit ratio.|\N
Crafty Shield|Fairy|\N|\N|10|Protects the Pokémon from status moves.|\N
Cross Chop|Fighting|100|80|5|High critical hit ratio.|\N
Cross Poison|Poison|70|100|20|High critical hit ratio. May poison opponent.|10
Crunch|Dark|80|100|15|May lower opponent's Defense.|20
Crush Claw|Normal|75|95|10|May lower opponent's Defense.|50
Crush Grip|Normal|\N|100|5|More powerful when opponent has higher HP.|\N
Curse|Ghost|\N|\N|10|Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.|\N
Cut|Normal|50|95|30|\N|\N
Dark Pulse|Dark|80|100|15|May cause flinching.|20
Dark Void|Dark|\N|50|10|Puts all adjacent opponents to sleep.|\N
Darkest Lariat|Dark|85|100|10|Ignores opponent's stat changes.|\N
Dazzling Gleam|Fairy|80|100|10|Hits all adjacent opponents.|\N
Defend Order|Bug|\N|\N|10|Raises user's Defense and Special Defense.|\N
Defense Curl|Normal|\N|\N|40|Raises user's Defense.|\N
Defog|Flying|\N|\N|15|Lowers opponent's Evasiveness and clears fog.|\N
Destiny Bond|Ghost|\N|\N|5|If the user faints, the opponent also faints.|\N
Detect|Fighting|\N|\N|5|Protects the user, but may fail if used consecutively.|\N
Devastating Drake|Dragon|\N|\N|1|Dragon type Z-Move.|\N
Diamond Storm|Rock|100|95|5|May raise user's Defense|50
Dig|Ground|80|100|10|Digs underground on first turn, attacks on second. Can also escape from caves.|\N
Disable|Normal|\N|100|20|Opponent can't use its last attack for a few turns.|\N
Disarming Voice|Fairy|40|∞|15|Ignores Accuracy and Evasiveness.|\N
Discharge|Electric|80|100|15|May paralyze opponent.|30
Dive|Water|80|100|10|Dives underwater on first turn, attacks on second turn.|\N
Dizzy Punch|Normal|70|100|10|May confuse opponent.|20
Doom Desire|Steel|140|100|5|Damage occurs 2 turns later.|\N
Double Hit|Normal|35|90|10|Hits twice in one turn.|\N
Double Iron Bash|Steel|60|100|5|Hits twice in one turn; may cause flinching.|30
Double Kick|Fighting|30|100|30|Hits twice in one turn.|\N
Double Slap|Normal|15|85|10|Hits 2-5 times in one turn.|\N
Double Team|Normal|\N|\N|15|Raises user's Evasiveness.|\N
Double-Edge|Normal|120|100|15|User receives recoil damage.|\N
Draco Meteor|Dragon|130|90|5|Sharply lowers user's Special Attack.|\N
Dragon Ascent|Flying|120|100|5|Lowers user's Defense and Special Defense.|\N
Dragon Breath|Dragon|60|100|20|May paralyze opponent.|30
Dragon Claw|Dragon|80|100|15|\N|\N
Dragon Dance|Dragon|\N|\N|20|Raises user's Attack and Speed.|\N
Dragon Hammer|Dragon|90|100|15|The user uses its body like a hammer to attack the target and inflict damage.|\N
Dragon Pulse|Dragon|85|100|10|\N|\N
Dragon Rage|Dragon|\N|100|10|Always inflicts 40 HP.|\N
Dragon Rush|Dragon|100|75|10|May cause flinching.|20
Dragon Tail|Dragon|60|90|10|In battles, the opponent switches. In the wild, the Pokémon runs.|\N
Drain Punch|Fighting|75|100|10|User recovers half the HP inflicted on opponent.|\N
Draining Kiss|Fairy|50|100|10|User recovers most the HP inflicted on opponent.|\N
Dream Eater|Psychic|100|100|15|User recovers half the HP inflicted on a sleeping opponent.|\N
Drill Peck|Flying|80|100|20|\N|\N
Drill Run|Ground|80|95|10|High critical hit ratio.|\N
Dual Chop|Dragon|40|90|15|Hits twice in one turn.|\N
Dynamic Punch|Fighting|100|50|5|Confuses opponent.|100
Earth Power|Ground|90|100|10|May lower opponent's Special Defense.|10
Earthquake|Ground|100|100|10|Power is doubled if opponent is underground from using Dig.|\N
Echoed Voice|Normal|40|100|15|Power increases each turn.|\N
Eerie Impulse|Electric|\N|100|15|Sharply lowers opponent's Special Attack.|\N
Egg Bomb|Normal|100|75|10|\N|\N
Electric Terrain|Electric|\N|\N|10|Prevents all Pokémon from falling asleep for 5 turns.|\N
Electrify|Electric|\N|\N|20|Changes the target's move to Electric type.|\N
Electro Ball|Electric|\N|100|10|The faster the user, the stronger the attack.|\N
Electroweb|Electric|55|95|15|Lowers opponent's Speed.|100
Embargo|Dark|\N|100|15|Opponent cannot use items.|\N
Ember|Fire|40|100|25|May burn opponent.|10
Encore|Normal|\N|100|5|Forces opponent to keep using its last move for 3 turns.|\N
Endeavor|Normal|\N|100|5|Reduces opponent's HP to same as user's.|\N
Endure|Normal|\N|\N|10|Always left with at least 1 HP, but may fail if used consecutively.|\N
Energy Ball|Grass|90|100|10|May lower opponent's Special Defense.|10
Entrainment|Normal|\N|100|15|Makes target's ability same as user's.|\N
Eruption|Fire|150|100|5|Stronger when the user's HP is higher.|\N
Explosion|Normal|250|100|5|User faints.|\N
Extrasensory|Psychic|80|100|20|May cause flinching.|10
Extreme Evoboost|Normal|\N|\N|1|Eevee-exclusive Z-Move. Sharply raises all stats.|\N
Extreme Speed|Normal|80|100|5|User attacks first.|\N
Facade|Normal|70|100|20|Power doubles if user is burned, poisoned, or paralyzed.|\N
Fairy Lock|Fairy|\N|\N|10|Prevents fleeing in the next turn.|\N
Fairy Wind|Fairy|40|100|30|\N|\N
Fake Out|Normal|40|100|10|User attacks first, foe flinches. Only usable on first turn.|100
Fake Tears|Dark|\N|100|20|Sharply lowers opponent's Special Defense.|\N
False Swipe|Normal|40|100|40|Always leaves opponent with at least 1 HP.|\N
Feather Dance|Flying|\N|100|15|Sharply lowers opponent's Attack.|\N
Feint|Normal|30|100|10|Only hits if opponent uses Protect or Detect in the same turn.|\N
Feint Attack|Dark|60|∞|20|Ignores Accuracy and Evasiveness.|\N
Fell Stinger|Bug|50|100|25|Drastically raises user's Attack if target is KO'd.|\N
Fiery Dance|Fire|80|100|10|May raise user's Special Attack.|50
Final Gambit|Fighting|\N|100|5|Inflicts damage equal to the user's remaining HP. User faints.|\N
Fire Blast|Fire|110|85|5|May burn opponent.|10
Fire Fang|Fire|65|95|15|May cause flinching and/or burn opponent.|10
Fire Lash|Fire|80|100|15|The user strikes the target with a burning lash. This also lowers the target's Defense stat.|\N
Fire Pledge|Fire|80|100|10|Added effects appear if combined with Grass Pledge or Water Pledge.|\N
Fire Punch|Fire|75|100|15|May burn opponent.|10
Fire Spin|Fire|35|85|15|Traps opponent, damaging them for 4-5 turns.|\N
First Impression|Bug|90|100|10|Although this move has great power, it only works the first turn the user is in battle.|\N
Fissure|Ground|\N|\N|5|One-Hit-KO, if it hits.|\N
Flail|Normal|\N|100|15|The lower the user's HP, the higher the power.|\N
Flame Burst|Fire|70|100|15|May also injure nearby Pokémon.|\N
Flame Charge|Fire|50|100|20|Raises user's Speed.|100
Flame Wheel|Fire|60|100|25|May burn opponent.|10
Flamethrower|Fire|90|100|15|May burn opponent.|10
Flare Blitz|Fire|120|100|15|User receives recoil damage. May burn opponent.|10
Flash|Normal|\N|100|20|Lowers opponent's Accuracy.|\N
Flash Cannon|Steel|80|100|10|May lower opponent's Special Defense.|10
Flatter|Dark|\N|100|15|Confuses opponent, but raises its Special Attack by two stages.|\N
Fleur Cannon|Fairy|130|90|5|Sharply lowers user's Special Attack.|\N
Fling|Dark|\N|100|10|Power depends on held item.|\N
Floaty Fall|Flying|90|95|15|May cause flinching.|30
Floral Healing|Fairy|\N|\N|10|The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.|\N
Flower Shield|Fairy|\N|\N|10|Sharply raises Defense of all Grass-type Pokémon on the field.|\N
Fly|Flying|90|95|15|Flies up on first turn, attacks on second turn.|\N
Flying Press|Fighting|100|95|10|Deals Fighting and Flying type damage.|\N
Focus Blast|Fighting|120|70|5|May lower opponent's Special Defense.|10
Focus Energy|Normal|\N|\N|30|Increases critical hit ratio.|\N
Focus Punch|Fighting|150|100|20|If the user is hit before attacking, it flinches instead.|\N
Follow Me|Normal|\N|\N|20|In Double Battle, the user takes all the attacks.|\N
Force Palm|Fighting|60|100|10|May paralyze opponent.|30
Foresight|Normal|\N|\N|40|Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.|\N
Forest's Curse|Grass|\N|100|20|Adds Grass type to opponent.|\N
Foul Play|Dark|95|100|15|Uses the opponent's Attack stat.|\N
Freeze Shock|Ice|140|90|5|Charges on first turn, attacks on second. May paralyze opponent.|30
Freeze-Dry|Ice|70|100|20|May freeze opponent. Super-effective against Water types.|\N
Freezy Frost|Ice|90|100|15|Resets all stat changes.|\N
Frenzy Plant|Grass|150|90|5|User must recharge next turn.|\N
Frost Breath|Ice|60|90|10|Always results in a critical hit.|100
Frustration|Normal|\N|100|20|Power decreases with higher Friendship.|\N
Fury Attack|Normal|15|85|20|Hits 2-5 times in one turn.|\N
Fury Cutter|Bug|40|95|20|Power increases each turn.|\N
Fury Swipes|Normal|18|80|15|Hits 2-5 times in one turn.|\N
Fusion Bolt|Electric|100|100|5|Power increases if Fusion Flare is used in the same turn.|\N
Fusion Flare|Fire|100|100|5|Power increases if Fusion Bolt is used in the same turn.|\N
Future Sight|Psychic|120|100|10|Damage occurs 2 turns later.|\N
Gastro Acid|Poison|\N|100|10|Cancels out the effect of the opponent's Ability.|\N
Gear Grind|Steel|50|85|15|Hits twice in one turn.|\N
Gear Up|Steel|\N|\N|20|The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.|\N
Genesis Supernova|Psychic|185|\N|1|Mew-exclusive Z-Move.|\N
Geomancy|Fairy|\N|\N|10|Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.|\N
Giga Drain|Grass|75|100|10|User recovers half the HP inflicted on opponent.|\N
Giga Impact|Normal|150|90|5|User must recharge next turn.|\N
Gigavolt Havoc|Electric|\N|\N|1|Electric type Z-Move.|\N
Glaciate|Ice|65|95|10|Lowers opponent's Speed.|100
Glare|Normal|\N|100|30|Paralyzes opponent.|\N
Glitzy Glow|Psychic|90|100|15|Reduces damage from Special attacks.|\N
Grass Knot|Grass|\N|100|20|The heavier the opponent, the stronger the attack.|\N
Grass Pledge|Grass|80|100|10|Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.|\N
Grass Whistle|Grass|\N|55|15|Puts opponent to sleep.|\N
Grassy Terrain|Grass|\N|\N|10|Restores a little HP of all Pokémon for 5 turns. |\N
Gravity|Psychic|\N|\N|5|Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.|\N
Growl|Normal|\N|100|40|Lowers opponent's Attack.|\N
Growth|Normal|\N|\N|40|Raises user's Attack and Special Attack.|\N
Grudge|Ghost|\N|\N|5|If the users faints after using this move, the PP for the opponent's last move is depleted.|\N
Guard Split|Psychic|\N|\N|10|Averages Defense and Special Defense with the target.|\N
Guard Swap|Psychic|\N|\N|10|User and opponent swap Defense and Special Defense.|\N
Guardian of Alola|Fairy|\N|\N|1|Tapu-exclusive Z-move. Cuts opponent's HP by 75%.|\N
Guillotine|Normal|\N|\N|5|One-Hit-KO, if it hits.|\N
Gunk Shot|Poison|120|80|5|May poison opponent.|30
Gust|Flying|40|100|35|Hits Pokémon using Fly/Bounce with double power.|\N
Gyro Ball|Steel|\N|100|5|The slower the user, the stronger the attack.|\N
Hail|Ice|\N|\N|10|Non-Ice types are damaged for 5 turns.|\N
Hammer Arm|Fighting|100|90|10|Lowers user's Speed.|\N
Happy Hour|Normal|\N|\N|30|Doubles prize money from trainer battles.|\N
Harden|Normal|\N|\N|30|Raises user's Defense.|\N
Haze|Ice|\N|\N|30|Resets all stat changes.|\N
Head Charge|Normal|120|100|15|User receives recoil damage.|\N
Head Smash|Rock|150|80|5|User receives recoil damage.|\N
Headbutt|Normal|70|100|15|May cause flinching.|30
Heal Bell|Normal|\N|\N|5|Heals the user's party's status conditions.|\N
Heal Block|Psychic|\N|\N|15|Prevents the opponent from restoring HP for 5 turns.|\N
Heal Order|Bug|\N|\N|10|User recovers half its max HP.|\N
Heal Pulse|Psychic|\N|\N|10|Restores half the target's max HP.|\N
Healing Wish|Psychic|\N|\N|10|The user faints and the next Pokémon released is fully healed.|\N
Heart Stamp|Psychic|60|100|25|May cause flinching.|30
Heart Swap|Psychic|\N|\N|10|Stat changes are swapped with the opponent.|\N
Heat Crash|Fire|\N|100|10|The heavier the user, the stronger the attack.|\N
Heat Wave|Fire|95|90|10|May burn opponent.|10
Heavy Slam|Steel|\N|100|10|The heavier the user, the stronger the attack.|\N
Helping Hand|Normal|\N|\N|20|In Double Battles, boosts the power of the partner's move.|\N
Hex|Ghost|65|100|10|Inflicts more damage if the target has a status condition.|\N
Hidden Power|Normal|60|100|15|Type and power depends on user's IVs.|\N
High Horsepower|Ground|95|95|10|The user fiercely attacks the target using its entire body.|\N
High Jump Kick|Fighting|130|90|10|If it misses, the user loses half their HP.|\N
Hold Back|Normal|40|100|40|Always leaves opponent with at least 1 HP.|\N
Hold Hands|Normal|\N|\N|40|Makes the user and an ally very happy.|\N
Hone Claws|Dark|\N|\N|15|Raises user's Attack and Accuracy.|\N
Horn Attack|Normal|65|100|25|\N|\N
Horn Drill|Normal|\N|\N|5|One-Hit-KO, if it hits.|\N
Horn Leech|Grass|75|100|10|User recovers half the HP inflicted on opponent.|\N
Howl|Normal|\N|\N|40|Raises user's Attack.|\N
Hurricane|Flying|110|70|10|May confuse opponent.|30
Hydro Cannon|Water|150|90|5|User must recharge next turn.|\N
Hydro Pump|Water|110|80|5|\N|\N
Hydro Vortex|Water|\N|\N|1|Water type Z-Move.|\N
Hyper Beam|Normal|150|90|5|User must recharge next turn.|\N
Hyper Fang|Normal|80|90|15|May cause flinching.|10
Hyper Voice|Normal|90|100|10|\N|\N
Hyperspace Fury|Dark|100|∞|5|Lowers user's Defense. Can strike through Protect/Detect.|\N
Hyperspace Hole|Psychic|80|∞|5|Can strike through Protect/Detect.|\N
Hypnosis|Psychic|\N|60|20|Puts opponent to sleep.|\N
Ice Ball|Ice|30|90|20|Doubles in power each turn for 5 turns.|\N
Ice Beam|Ice|90|100|10|May freeze opponent.|10
Ice Burn|Ice|140|90|5|Charges on first turn, attacks on second. May burn opponent.|30
Ice Fang|Ice|65|95|15|May cause flinching and/or freeze opponent.|10
Ice Hammer|Ice|100|90|10|The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.|\N
Ice Punch|Ice|75|100|15|May freeze opponent.|10
Ice Shard|Ice|40|100|30|User attacks first.|\N
Icicle Crash|Ice|85|90|10|May cause flinching.|30
Icicle Spear|Ice|25|100|30|Hits 2-5 times in one turn.|\N
Icy Wind|Ice|55|95|15|Lowers opponent's Speed.|100
Imprison|Psychic|\N|\N|10|Opponent is unable to use moves that the user also knows.|\N
Incinerate|Fire|60|100|15|Destroys the target's held berry.|\N
Inferno|Fire|100|50|5|Burns opponent.|100
Inferno Overdrive|Fire|\N|\N|1|Fire type Z-Move.|\N
Infestation|Bug|20|100|20|Traps opponent, damaging them for 4-5 turns.|\N
Ingrain|Grass|\N|\N|20|User restores HP each turn. User cannot escape/switch.|\N
Instruct|Psychic|\N|\N|15|Allows an ally to use a move instead.|\N
Ion Deluge|Electric|\N|\N|25|Changes Normal-type moves to Electric-type.|\N
Iron Defense|Steel|\N|\N|15|Sharply raises user's Defense.|\N
Iron Head|Steel|80|100|15|May cause flinching.|30
Iron Tail|Steel|100|75|15|May lower opponent's Defense.|10
Judgment|Normal|100|100|10|Type depends on the Arceus Plate being held.|\N
Jump Kick|Fighting|100|95|10|If it misses, the user loses half their HP.|\N
Karate Chop|Fighting|50|100|25|High critical hit ratio.|\N
Kinesis|Psychic|\N|80|15|Lowers opponent's Accuracy.|\N
King's Shield|Steel|\N|\N|10|Protects the user and lowers opponent's Attack on contact.|\N
Knock Off|Dark|65|100|20|Removes opponent's held item for the rest of the battle.|\N
Land's Wrath|Ground|90|100|10|\N|\N
Laser Focus|Normal|\N|\N|30|User's next attack is guaranteed to result in a critical hit.|\N
Last Resort|Normal|140|100|5|Can only be used after all other moves are used.|\N
Lava Plume|Fire|80|100|15|May burn opponent.|30
Leaf Blade|Grass|90|100|15|High critical hit ratio.|\N
Leaf Storm|Grass|130|90|5|Sharply lowers user's Special Attack.|\N
Leaf Tornado|Grass|65|90|10|May lower opponent's Accuracy.|30
Leafage|Grass|40|100|40|Strikes opponent with leaves.|\N
Leech Life|Bug|80|100|10|User recovers half the HP inflicted on opponent.|\N
Leech Seed|Grass|\N|90|10|Drains HP from opponent each turn.|\N
Leer|Normal|\N|100|30|Lowers opponent's Defense.|\N
Let's Snuggle Forever|Fairy|190|\N|1|Mimikyu-exclusive Z-Move.|\N
Lick|Ghost|30|100|30|May paralyze opponent.|30
Light of Ruin|Fairy|140|90|5|User receives recoil damage.|\N
Light Screen|Psychic|\N|\N|30|Halves damage from Special attacks for 5 turns.|\N
Light That Burns the Sky|Psychic|200|\N|1|Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.|\N
Liquidation|Water|85|100|10|The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.|\N
Lock-On|Normal|\N|\N|5|User's next attack is guaranteed to hit.|\N
Lovely Kiss|Normal|\N|75|10|Puts opponent to sleep.|\N
Low Kick|Fighting|\N|100|20|The heavier the opponent, the stronger the attack.|\N
Low Sweep|Fighting|65|100|20|Lowers opponent's Speed.|100
Lucky Chant|Normal|\N|\N|30|Opponent cannot land critical hits for 5 turns.|\N
Lunar Dance|Psychic|\N|\N|10|The user faints but the next Pokémon released is fully healed.|\N
Lunge|Bug|80|100|15|The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.|\N
Luster Purge|Psychic|70|100|5|May lower opponent's Special Defense.|50
Mach Punch|Fighting|40|100|30|User attacks first.|\N
Magic Coat|Psychic|\N|\N|15|Reflects moves that cause status conditions back to the attacker.|\N
Magic Room|Psychic|\N|\N|10|Suppresses the effects of held items for five turns.|\N
Magical Leaf|Grass|60|∞|20|Ignores Accuracy and Evasiveness.|\N
Magma Storm|Fire|100|75|5|Traps opponent, damaging them for 4-5 turns.|\N
Magnet Bomb|Steel|60|∞|20|Ignores Accuracy and Evasiveness.|\N
Magnet Rise|Electric|\N|\N|10|User becomes immune to Ground-type moves for 5 turns.|\N
Magnetic Flux|Electric|\N|\N|20|Raises Defense and Sp. Defense of Plus/Minus Pokémon.|\N
Magnitude|Ground|\N|100|30|Hits with random power.|\N
Malicious Moonsault|Dark|180|\N|1|Incineroar-exclusive Z-Move.|\N
Mat Block|Fighting|\N|\N|10|Protects teammates from damaging moves.|\N
Me First|Normal|\N|\N|20|User copies the opponent's attack with 1.5× power.|\N
Mean Look|Normal|\N|\N|5|Opponent cannot flee or switch.|\N
Meditate|Psychic|\N|\N|40|Raises user's Attack.|\N
Mega Drain|Grass|40|100|15|User recovers half the HP inflicted on opponent.|\N
Mega Kick|Normal|120|75|5|\N|\N
Mega Punch|Normal|80|85|20|\N|\N
Megahorn|Bug|120|85|10|\N|\N
Memento|Dark|\N|100|10|User faints, sharply lowers opponent's Attack and Special Attack.|\N
Menacing Moonraze Maelstrom|Ghost|200|\N|1|Lunala-exclusive Z-Move.|\N
Metal Burst|Steel|\N|100|10|Deals damage equal to 1.5x opponent's attack.|\N
Metal Claw|Steel|50|95|35|May raise user's Attack.|10
Metal Sound|Steel|\N|85|40|Sharply lowers opponent's Special Defense.|\N
Meteor Mash|Steel|90|90|10|May raise user's Attack.|20
Metronome|Normal|\N|\N|10|User performs almost any move in the game at random.|\N
Milk Drink|Normal|\N|\N|10|User recovers half its max HP.|\N
Mimic|Normal|\N|\N|10|Copies the opponent's last move.|\N
Mind Blown|Fire|150|100|5|User receives recoil damage.|\N
Mind Reader|Normal|\N|\N|5|User's next attack is guaranteed to hit.|\N
Minimize|Normal|\N|\N|10|Sharply raises user's Evasiveness.|\N
